count,from_port,to_port,from_lat,from_lon,to_lat,to_lon
17255,MONTEVIDEO,LA CORUÑA,-34.89,-56.21,43.36,-8.36
13554,LA CORUÑA,LA HABANA,43.36,-8.36,23.48,-80.91
13118,ROTTERDAM,BATAVIA,51.0,1.11,-6.1,106.86
9933,NIEUWEDIEP,BATAVIA,52.155,3.27,-6.1,106.86
9522,NEDERLAND,BATAVIA,52.0,5.0,-6.1,106.86
4827,TEXEL,BATAVIA,52.615,4.175000000000001,-6.1,106.86
4333,BATAVIA,HELLEVOETSLUIS,-6.1,106.86,51.81,4.08
3131,AMSTERDAM,BATAVIA,52.77,3.97,-6.1,106.86
2231,MONTEVIDEO,CÁDIZ,-34.89,-56.21,36.525000000000006,-6.41
1785,JAVA HEAD,DOWNS,-6.75,105.2,51.2,1.4
1658,LA HABANA,CÁDIZ,23.48,-80.91,36.525000000000006,-6.41
1451,BATAVIA,BROUWERSHAVEN,-6.1,106.86,51.75,3.9
1425,TABLE BAY,SPITHEAD,-33.9,18.4,50.525000000000006,-1.115
1398,BANJOEWANGIE,NIEUWEDIEP,-8.2,114.35,52.155,3.27
1398,TEXEL,KAAP DE GOEDE HOOP,52.615,4.175000000000001,-34.12,18.23
1372,DOWNS,BOMBAY,51.2,1.4,18.93,72.85
1328,DOWNS,MADRAS,51.2,1.4,13.08,80.27
1261,NEDERLAND,JAVA,52.0,5.0,-7.5,110.0
1173,SPITHEAD,MADRAS,50.525000000000006,-1.115,13.08,80.27
1163,CURACAO,HELLEVOETSLUIS,12.21,-68.34,51.81,4.08
1116,BATAVIA,KAAP DE GOEDE HOOP,-6.1,106.86,-34.12,18.23
1096,NEDERLAND,SURINAME,52.0,5.0,6.095000000000001,-54.485
992,BATAVIA,ANTWERPEN,-6.1,106.86,51.22,4.4
936,RIO DE JANEIRO,BATAVIA,-22.9,-43.16,-6.1,106.86
932,JAMAICA,SPITHEAD,18.1,-77.3,50.525000000000006,-1.115
863,ST HELENA,SPITHEAD,-16.02,-5.08,50.525000000000006,-1.115
855,PARAMARIBO,HELLEVOETSLUIS,5.83,-55.15,51.81,4.08
801,SURINAME,MIDDELBURG,6.095000000000001,-54.485,51.5,3.6
769,BATAVIA,ZIERIKZEE,-6.1,106.86,50.775,0.8899999999999999
754,JAVA HEAD,UK,-6.75,105.2,51.5,-0.1
748,SPITHEAD,BARBADOS,50.525000000000006,-1.115,13.095,-58.93
733,JAVA HEAD,ST HELENA,-6.75,105.2,-16.02,-5.08
729,TABLE BAY,MADRAS,-33.9,18.4,13.08,80.27
724,RAMMEKENS,BATAVIA,51.45,3.65,-6.1,106.86
676,BREST,MARTINIQUE,48.34,-5.385,15.65,-61.745000000000005
656,RAMMEKENS,CEYLON,51.45,3.65,6.85,82.1
647,MIDDELBURG,CEYLON,51.5,3.6,6.85,82.1
621,PORTSMOUTH,MADRAS,50.2,-1.58,13.08,80.27
616,EL CALLAO (LIMA),CÁDIZ,-12.07,-77.15,36.525000000000006,-6.41
612,EL CALLAO,CÁDIZ,-12.03,-77.16,36.525000000000006,-6.41
