from_port,to_port,from_lat,from_lon,to_lat,to_lon,count,route_key
MONTEVIDEO,LA CORUÑA,-34.89,-56.21,43.36,-8.36,8742,"('LA CORUÑA', 'MONTEVIDEO')"
LA CORUÑA,MONTEVIDEO,43.36,-8.36,-34.89,-56.21,8513,"('LA CORUÑA', 'MONTEVIDEO')"
ROTTERDAM,BATAVIA,51.0,1.11,-6.1,106.86,7745,"('BATAVIA', 'ROTTERDAM')"
LA CORUÑA,LA HABANA,43.36,-8.36,23.48,-80.91,7523,"('LA CORUÑA', 'LA HABANA')"
LA HABANA,LA CORUÑA,23.48,-80.91,43.36,-8.36,6031,"('LA CORUÑA', 'LA HABANA')"
NEDERLAND,BATAVIA,52.0,5.0,-6.1,106.86,5989,"('BATAVIA', 'NEDERLAND')"
BATAVIA,ROTTERDAM,-6.1,106.86,51.0,1.11,5373,"('BATAVIA', 'ROTTERDAM')"
NIEUWEDIEP,BATAVIA,52.155,3.27,-6.1,106.86,5256,"('BATAVIA', 'NIEUWEDIEP')"
BATAVIA,NIEUWEDIEP,-6.1,106.86,52.155,3.27,4677,"('BATAVIA', 'NIEUWEDIEP')"
BATAVIA,NEDERLAND,-6.1,106.86,52.0,5.0,3533,"('BATAVIA', 'NEDERLAND')"
TEXEL,BATAVIA,52.615,4.175000000000001,-6.1,106.86,2548,"('BATAVIA', 'TEXEL')"
BATAVIA,TEXEL,-6.1,106.86,52.615,4.175000000000001,2279,"('BATAVIA', 'TEXEL')"
BATAVIA,HELLEVOETSLUIS,-6.1,106.86,51.81,4.08,2258,"('BATAVIA', 'HELLEVOETSLUIS')"
HELLEVOETSLUIS,BATAVIA,51.81,4.08,-6.1,106.86,2075,"('BATAVIA', 'HELLEVOETSLUIS')"
JAVA HEAD,DOWNS,-6.75,105.2,51.2,1.4,1678,"('DOWNS', 'JAVA HEAD')"
AMSTERDAM,BATAVIA,52.77,3.97,-6.1,106.86,1635,"('AMSTERDAM', 'BATAVIA')"
LA HABANA,CÁDIZ,23.48,-80.91,36.525000000000006,-6.41,1571,"('CÁDIZ', 'LA HABANA')"
BATAVIA,AMSTERDAM,-6.1,106.86,52.77,3.97,1496,"('AMSTERDAM', 'BATAVIA')"
MONTEVIDEO,CÁDIZ,-34.89,-56.21,36.525000000000006,-6.41,1407,"('CÁDIZ', 'MONTEVIDEO')"
BANJOEWANGIE,NIEUWEDIEP,-8.2,114.35,52.155,3.27,1398,"('BANJOEWANGIE', 'NIEUWEDIEP')"
