port_name,from_count,to_count,latitude,longitude,anchor_count,total_mentions
BAAI VAN RIO JANEIRO,,,,,,0.0
DIEU DANNE VOOR MARSEILLE,,,43.3,5.37,,0.0
"SIMONS BAAIJ, CABO DE GOEDE HOOP",,,,,,0.0
NIEUW AMSTERDAM,,,,,,0.0
RIO SESTER,,,,,,0.0
KUST VAN GUIANA,,,,,,0.0
BENEDEN MOERDIJK,,,,,,0.0
LA HABANA (09:30),,,,,,0.0
KAAP APOLONIA,,,,,,0.0
SAN NICOLAS,,,,,,0.0
BAAI MORTE,,,,,,0.0
BECOVIA,,,,,,0.0
ST GEORGE,,,,,,0.0
PORT DESIRE ROAD,,,,,,0.0
WALGEREN,,,,,,0.0
ST JUAN DE PORTO RICO,,,41.15,-8.61,,0.0
ST KITS,,,,,,0.0
CORANTIJN RIVIER?,,,,,,0.0
ST. NICOLADE,,,,,,0.0
GOEREE TEN 8 UREN,,,,,,0.0
SAINT VINCENT,,,,,,0.0
FUNCHIAL,,,,,,0.0
PORT DES BASQUE,,,,,,0.0
VALTA,,,,,,0.0
KLEIJN BASA,,,,,,0.0
PORT A CHOIX,,,,,,0.0
TUSSEN DE EILANDEN BEWESTEN BATAVIA,,,,,,0.0
HAMMERFEST HARBOUR,,,70.66,23.68,,0.0
MIDDELBURG EILAND,,,51.5,3.6,,0.0
L'ISLE DU NORD,,,,,,0.0
ST. MARTIN ISLE DU RÉ,,,,,,0.0
NASSIRES,,,,,,0.0
ONDER BONAIRE,,,,,,0.0
RIVIER VAN CAYENNE,,,4.93,-52.33,,0.0
MINDIN,,,,,,0.0
S HORNINGS - VOE HARBOUR,,,,,,0.0
BOUCAUD,,,,,,0.0
BASSE TERRE DE LA GUADELOUPE,,,16.25,-61.58,,0.0
"SCHIEDAM, OVER DEN BEER",,,,,,0.0
TUSSEN DE TAFELBAAI EN ROBBENEILAND,,,,,,0.0
SOLANO,,,,,,0.0
PLEIJMUIJDEN,,,,,,0.0
ST PIERRE OP MARTINIQUE,,,14.64,-61.02,,0.0
S HORNINGS - VOE HARBOUR (MAGGEROE ISLAND),,,,,,0.0
LE TRAVERS DE LA CALLE DU ROI,,,,,,0.0
"FORT ORANJE, GHANA",,,,,,0.0
ST MARTY,,,,,,0.0
BAAI VAN GRANADA,,,,,,0.0
FUNCHALL ROAD MADEIRA,,,32.65,-16.9,,0.0
PLANTAGE BACHELS,,,,,,0.0
PONTE VEDRA,,,,,,0.0
VOLTA,,,,,,0.0
"GUIYANA, VOOR DE KUST",,,,,,0.0
"CLARENCE COVE, FERNANDO PO",,,,,,0.0
EL ESTACIO,,,,,,0.0
VANILLAC,,,,,,0.0
PORTO PRAGEN,,,41.15,-8.61,,0.0
"ROYAL BAY, GEORGES ISLAND",,,,,,0.0
COSTÉ DE MOY,,,,,,0.0
POINTE NOIRE,,,,,,0.0
'T VLIE,,,,,,0.0
ST JEAN,,,,,,0.0
ST. NICOLAS,,,,,,0.0
PUERTO DE CUBA,,,,,,0.0
NUTKA,,,,,,0.0
LA BARQUE,,,,,,0.0
FORT WILLEM FREDERIK/RIO DEMERARY,,,,,,0.0
TAAGH,,,,,,0.0
PRAMI SANG,,,,,,0.0
LA VANT GARDE,,,,,,0.0
L'ISLE DES SAINTES,,,,,,0.0
"FORT AMSTERDAM, PARAMARIBO",,,-1.46,-48.5,,0.0
P. BABIE,,,,,,0.0
ISLA DE GROSA,,,,,,0.0
BRABANDS HOEDJE,,,,,,0.0
HOGSTUR,,,,,,0.0
GRANADE,,,,,,0.0
ANTIOCHE,,,,,,0.0
"FORT AMSTERDAM, PARAMARIBO.",,,-1.46,-48.5,,0.0
EL MORRO,,,,,,0.0
ST CATHERINA,,,,,,0.0
LANCE,,,,,,0.0
CARIACOU,,,,,,0.0
TEMATAVE,,,,,,0.0
KAAP GRINEZ,,,,,,0.0
CABO FINISTERRE,,,,,,0.0
PORTMOUTH,,,,,,0.0
SURINAME (EW),,,,,,0.0
ST.LOUIS DE MARIE GALANTE,,,,,,0.0
BEOOSTE PAMPUS,,,,,,0.0
BASQUER,,,,,,0.0
FORT NASSAU,,,,,,0.0
HOEK VAN BANTAM,,,,,,0.0
EILAND MIDDELBURG,,,51.5,3.6,,0.0
GROSPE ROCHE,,,,,,0.0
POST ST ANDRIES,,,,,,0.0
VIGO,,,42.23,-8.73,,0.0
DEL FEUGO,,,,,,0.0
ST. PIERRE DE NIQUELON,,,,,,0.0
BERBIECIE RIVIER?,,,,,,0.0
LA BAYE DES TROIS ISLES,,,,,,0.0
PLANTAGE OOSTERMEER,,,,,,0.0
TIMOAN,,,,,,0.0
DE DEURLOO,,,,,,0.0
ISLA MARGARITA,,,,,,0.0
BARENSON,,,,,,0.0
"CURACAO, VOOR HET WAAIGAT",,,,,,0.0
WEST SIDE OF CARLISE SOUND,,,,,,0.0
KAAP TAGRIN,,,,,,0.0
AZIM,,,,,,0.0
LAMNIFORD HARBOUR,,,,,,0.0
BARQUES,,,,,,0.0
PAITA,,,,,,0.0
"ALRAD, ST CHRISTOFFEL",,,,,,0.0
OFF DOVER,,,51.13,1.31,,0.0
ST HELLENA ROAD,,,,,,0.0
CABO DE BUENA ESPERANZA,,,,,,0.0
ISLA DE LAS CABRAS,,,,,,0.0
TAMARA EILAND,,,,,,0.0
LANZAROTE,,,,,,0.0
"ST CRUZ, TENIRIFFE",,,,,,0.0
SIMONSBAAIJ (17H),,,,,,0.0
ST CRUZ DE TENERIFE,,,,,,0.0
FALS EN SIMONSBAAY,,,,,,0.0
SAINT THOMAS,,,,,,0.0
GONAVE,,,,,,0.0
LA HABANA (12:30),,,,,,0.0
ST NICOLAAS PUNT,,,,,,0.0
KAAPSCHE REDE,,,,,,0.0
FRANCISCO IN LEANDO BAAY,,,,,,0.0
ZW HOEK VAN JAVA,,,-7.5,110.0,,0.0
CUMANA,,,,,,0.0
ST PAULO,,,,,,0.0
OLD ROAD,,,,,,0.0
L'ISLE DE LA MARGUÉRITE,,,,,,0.0
BOURDEAUX,,,,,,0.0
SAN GREGORIO,,,,,,0.0
PLANTAGE HELVETIA,,,,,,0.0
KASTEEL SAVENS,,,,,,0.0
ST. FRAMOINE,,,,,,0.0
LA RIVIERE FEROU,,,,,,0.0
PLANTAGE GOD ZIET ALLES,,,,,,0.0
MARACK BAAIJ,,,,,,0.0
MONTECRISTO.,,,,,,0.0
ISLA DE CABRAS,,,,,,0.0
DOEVER,,,,,,0.0
MARGATE,,,,,,0.0
GRAN CANARIA,,,,,,0.0
D' ELMINA,,,,,,0.0
PLANTAGE GOED LAND GOED FORTUIJN,,,,,,0.0
ANNA MARIA (NOAHIWA),,,,,,0.0
ISLE DE LA RAFALLE,,,,,,0.0
LA GRANDE BAYE,,,,,,0.0
ESTACIO,,,,,,0.0
BOUTEROE,,,,,,0.0
DE COULON,,,,,,0.0
WIGHT,,,,,,0.0
BARACOA,,,,,,0.0
EILAND PRINSIES,,,,,,0.0
BIJ LAND,,,,,,0.0
LA ISLA DE S LORENZO,,,,,,0.0
P. PANJANGH,,,,,,0.0
"BAAIJ VAN CAVITA (CAVITE 14:29N, 120:54O)",,,,,,0.0
CAMARET,,,,,,0.0
TRINITÉ,,,,,,0.0
CHEBUKTA HARBOUR,,,51.5,-0.1,,0.0
ONDER DEN VLIETER,,,,,,0.0
RIO DEMERARIJ,,,,,,0.0
DUNKIRK,,,51.03,2.38,,0.0
MARTRON,,,,,,0.0
BERTHOME,,,,,,0.0
SAINTE MARIE,,,,,,0.0
SCARBOROUGH,,,,,,0.0
BOUCAUT,,,,,,0.0
P PANJANG,,,,,,0.0
RIVIER VAN CORK,,,51.9,-8.47,,0.0
ANTIQUA,,,,,,0.0
MARGUERITE,,,,,,0.0
PORT DE BARQUES,,,,,,0.0
L'ISLE DE RE,,,,,,0.0
BOTTEWA,,,,,,0.0
ZERLIONES,,,,,,0.0
ANTIQUE,,,,,,0.0
SIBERUT EN SIPORA,,,,,,0.0
POLO PANJANG,,,,,,0.0
AQUITA OF QUITA,,,,,,0.0
CHESAPEAKE BAAI,,,,,,0.0
TOR BAIJ,,,,,,0.0
MESURADO,,,,,,0.0
BOUILLANTE,,,,,,0.0
SANGHAI,,,,,,0.0
GULF OF PARIA,,,,,,0.0
FUNCHALL (MADEIRA),,,32.65,-16.9,,0.0
PUNTA NAGA,,,,,,0.0
BAHÍA DE CÁDIZ.,,,,,,0.0
LA BAYE DU FUNCHAL,,,,,,0.0
CASTREIS,,,,,,0.0
KLEIN KAAP MONTO,,,,,,0.0
MOTHERBANK ONDER WIGHT,,,,,,0.0
LE PORT DE SONDER,,,,,,0.0
DINAGUE,,,,,,0.0
KLEINE EN GROOTE COMBUIS,,,,,,0.0
ALMERIE,,,,,,0.0
LA RADE DE LA PALINE,,,,,,0.0
KASTEEL VAN BOULIJN,,,,,,0.0
SENAUX,,,,,,0.0
GUADALOUPE,,,,,,0.0
DICKS COVE,,,,,,0.0
PORT PRIOR (ST JAGO),,,,,,0.0
PORTE PRAAY,,,,,,0.0
BOUTRY,,,,,,0.0
STE. PAISONT,,,,,,0.0
PULO BESSY,,,,,,0.0
CHERBOURG,,,49.64,-1.62,,0.0
RADE DE BASQUE,,,,,,0.0
SOUVERTURE DE LA RIVIERE DE CHAREUTE,,,,,,0.0
FONTIAAL,,,,,,0.0
ST NICOLAS,,,,,,0.0
LA ENSENADA,,,,,,0.0
BRIZELL HARBOUR,,,,,,0.0
KAAP APPOLONIA,,,,,,0.0
ISLE MINGAUT,,,,,,0.0
TUSSEN EILANDEN RIJN EN ORNAAL,,,,,,0.0
JAISSEAU,,,,,,0.0
ROSEAU DE LA DOMINIQUE,,,,,,0.0
VLAK BIJ BRAMSPUNT,,,,,,0.0
KUST IN HET KANAAL,,,,,,0.0
SANDEN CASTLE,,,,,,0.0
MENSCHENETER EN GROOTE COMBUIS,,,,,,0.0
WEST COWES,,,,,,0.0
FINISTERRE,,,,,,0.0
HELVOETSSLUIS,,,,,,0.0
JEEREN,,,,,,0.0
LEONIDE,,,,,,0.0
RIVIER DE COPPENAME,,,,,,0.0
NIEUWE SLUIS,,,,,,0.0
FONCHIEAL ROAD,,,,,,0.0
CARNARR BAY,,,,,,0.0
PORMAN,,,,,,0.0
PORTO PRAYA (AMW),,,41.15,-8.61,,0.0
BAAIJ VAN LA LUS,,,,,,0.0
CEVITA BIJ ST MACHIEL,,,,,,0.0
DAGERAAD,,,,,,0.0
OLRAD,,,,,,0.0
GROTE BOGT,,,,,,0.0
FORT ORANJE,,,,,,0.0
PORT LUIS,,,,,,0.0
FORT ST. ANTOINE,,,,,,0.0
PALLIACATTE OP DE COROMANDELKUST,,,,,,0.0
MONTECHRISTO,,,,,,0.0
CARBONERA,,,,,,0.0
PORT DU BARQUES,,,,,,0.0
LEOGANE,,,,,,0.0
HELLEVOETSLUIS (PVW),,,,,,0.0
CAABO GOEDE HOOP,,,,,,0.0
KAAP FRANCOIS,,,,,,0.0
LA FLOTTE,,,,,,0.0
CASTILLO DE LAS COBRAS,,,,,,0.0
EILAND PRINSSE,,,,,,0.0
SINA RIVIER,,,,,,0.0
JAGUA,,,,,,0.0
